Time 	 Hydrogen 	 H 	 H+ 	 H- 	 H2 	 H2+ 
5.292e+14 	 1000 	 0.0717978 	 4.11384e-05 	 1.36892e-12 	 0.928161 	 1.85423e-10 
5.3235e+14 	 1000 	 0.071766 	 4.11308e-05 	 1.36866e-12 	 0.928193 	 1.85427e-10 
5.355e+14 	 1000 	 0.0717348 	 4.11234e-05 	 1.3684e-12 	 0.928224 	 1.85431e-10 
5.3865e+14 	 1000 	 0.0717048 	 4.11163e-05 	 1.36815e-12 	 0.928254 	 1.85435e-10 
5.418e+14 	 1000 	 0.0716754 	 4.11092e-05 	 1.36791e-12 	 0.928284 	 1.85439e-10 
5.4495e+14 	 1000 	 0.0716467 	 4.11024e-05 	 1.36768e-12 	 0.928312 	 1.85443e-10 
5.481e+14 	 1000 	 0.0716188 	 4.10957e-05 	 1.36745e-12 	 0.92834 	 1.85446e-10 
5.5125e+14 	 1000 	 0.0715917 	 4.10893e-05 	 1.36722e-12 	 0.928367 	 1.8545e-10 
5.544e+14 	 1000 	 0.0715654 	 4.1083e-05 	 1.36701e-12 	 0.928394 	 1.85453e-10 
5.5755e+14 	 1000 	 0.0715398 	 4.10769e-05 	 1.3668e-12 	 0.928419 	 1.85456e-10 
5.607e+14 	 1000 	 0.071515 	 4.1071e-05 	 1.36659e-12 	 0.928444 	 1.85459e-10 
5.6385e+14 	 1000 	 0.0714909 	 4.10652e-05 	 1.36639e-12 	 0.928468 	 1.85463e-10 
5.67e+14 	 1000 	 0.0714674 	 4.10596e-05 	 1.3662e-12 	 0.928491 	 1.85465e-10 
5.7015e+14 	 1000 	 0.0714447 	 4.10542e-05 	 1.36601e-12 	 0.928514 	 1.85468e-10 
5.733e+14 	 1000 	 0.0714225 	 4.10489e-05 	 1.36583e-12 	 0.928536 	 1.85471e-10 
5.7645e+14 	 1000 	 0.071401 	 4.10437e-05 	 1.36565e-12 	 0.928558 	 1.85474e-10 
5.796e+14 	 1000 	 0.0713801 	 4.10387e-05 	 1.36548e-12 	 0.928579 	 1.85477e-10 
5.8275e+14 	 1000 	 0.0713598 	 4.10339e-05 	 1.36531e-12 	 0.928599 	 1.85479e-10 
5.859e+14 	 1000 	 0.0713401 	 4.10292e-05 	 1.36515e-12 	 0.928619 	 1.85482e-10 
5.8905e+14 	 1000 	 0.0713209 	 4.10246e-05 	 1.36499e-12 	 0.928638 	 1.85484e-10 
5.922e+14 	 1000 	 0.0713022 	 4.10201e-05 	 1.36484e-12 	 0.928657 	 1.85487e-10 
5.9535e+14 	 1000 	 0.0712841 	 4.10158e-05 	 1.36469e-12 	 0.928675 	 1.85489e-10 
5.985e+14 	 1000 	 0.0712664 	 4.10116e-05 	 1.36454e-12 	 0.928693 	 1.85491e-10 
6.0165e+14 	 1000 	 0.0712493 	 4.10075e-05 	 1.3644e-12 	 0.92871 	 1.85493e-10 
6.048e+14 	 1000 	 0.0712327 	 4.10035e-05 	 1.36426e-12 	 0.928726 	 1.85495e-10 
6.0795e+14 	 1000 	 0.0712165 	 4.09996e-05 	 1.36413e-12 	 0.928743 	 1.85498e-10 
6.111e+14 	 1000 	 0.0712007 	 4.09959e-05 	 1.364e-12 	 0.928758 	 1.855e-10 
6.1425e+14 	 1000 	 0.0711854 	 4.09922e-05 	 1.36387e-12 	 0.928774 	 1.85501e-10 
6.174e+14 	 1000 	 0.0711707 	 4.09887e-05 	 1.36375e-12 	 0.928788 	 1.85503e-10 
6.2055e+14 	 1000 	 0.0711564 	 4.09853e-05 	 1.36363e-12 	 0.928803 	 1.85505e-10 
6.237e+14 	 1000 	 0.0711424 	 4.09819e-05 	 1.36352e-12 	 0.928817 	 1.85507e-10 
6.2685e+14 	 1000 	 0.0711287 	 4.09786e-05 	 1.3634e-12 	 0.92883 	 1.85509e-10 
6.3e+14 	 1000 	 0.0711156 	 4.09755e-05 	 1.3633e-12 	 0.928843 	 1.8551e-10 
6.3315e+14 	 1000 	 0.0711027 	 4.09724e-05 	 1.36319e-12 	 0.928856 	 1.85512e-10 
6.363e+14 	 1000 	 0.0710902 	 4.09694e-05 	 1.36309e-12 	 0.928869 	 1.85514e-10 
6.3945e+14 	 1000 	 0.071078 	 4.09665e-05 	 1.36299e-12 	 0.928881 	 1.85515e-10 
6.426e+14 	 1000 	 0.0710662 	 4.09636e-05 	 1.36289e-12 	 0.928893 	 1.85517e-10 
6.4575e+14 	 1000 	 0.0710547 	 4.09609e-05 	 1.36279e-12 	 0.928904 	 1.85518e-10 
6.489e+14 	 1000 	 0.0710435 	 4.09582e-05 	 1.3627e-12 	 0.928916 	 1.8552e-10 
6.5205e+14 	 1000 	 0.0710326 	 4.09556e-05 	 1.36261e-12 	 0.928926 	 1.85521e-10 
6.552e+14 	 1000 	 0.071022 	 4.09531e-05 	 1.36252e-12 	 0.928937 	 1.85522e-10 
6.5835e+14 	 1000 	 0.0710118 	 4.09506e-05 	 1.36244e-12 	 0.928947 	 1.85524e-10 
6.615e+14 	 1000 	 0.0710018 	 4.09482e-05 	 1.36236e-12 	 0.928957 	 1.85525e-10 
6.6465e+14 	 1000 	 0.0709921 	 4.09459e-05 	 1.36228e-12 	 0.928967 	 1.85526e-10 
6.678e+14 	 1000 	 0.0709827 	 4.09436e-05 	 1.3622e-12 	 0.928976 	 1.85527e-10 
6.7095e+14 	 1000 	 0.0709735 	 4.09414e-05 	 1.36212e-12 	 0.928986 	 1.85529e-10 
6.741e+14 	 1000 	 0.0709646 	 4.09393e-05 	 1.36205e-12 	 0.928994 	 1.8553e-10 
6.7725e+14 	 1000 	 0.0709559 	 4.09372e-05 	 1.36198e-12 	 0.929003 	 1.85531e-10 
6.804e+14 	 1000 	 0.0709476 	 4.09352e-05 	 1.36191e-12 	 0.929011 	 1.85532e-10 
6.8355e+14 	 1000 	 0.0709394 	 4.09333e-05 	 1.36184e-12 	 0.92902 	 1.85533e-10 
6.867e+14 	 1000 	 0.0709314 	 4.09314e-05 	 1.36177e-12 	 0.929028 	 1.85534e-10 
6.8985e+14 	 1000 	 0.0709237 	 4.09295e-05 	 1.36171e-12 	 0.929035 	 1.85535e-10 
6.93e+14 	 1000 	 0.0709162 	 4.09277e-05 	 1.36165e-12 	 0.929043 	 1.85536e-10 
6.9615e+14 	 1000 	 0.0709089 	 4.0926e-05 	 1.36159e-12 	 0.92905 	 1.85537e-10 
6.993e+14 	 1000 	 0.0709018 	 4.09243e-05 	 1.36153e-12 	 0.929057 	 1.85538e-10 
7.0245e+14 	 1000 	 0.0708949 	 4.09226e-05 	 1.36147e-12 	 0.929064 	 1.85539e-10 
7.056e+14 	 1000 	 0.0708883 	 4.0921e-05 	 1.36142e-12 	 0.929071 	 1.85539e-10 
7.0875e+14 	 1000 	 0.0708818 	 4.09195e-05 	 1.36136e-12 	 0.929077 	 1.8554e-10 
7.119e+14 	 1000 	 0.0708754 	 4.09179e-05 	 1.36131e-12 	 0.929084 	 1.85541e-10 
7.1505e+14 	 1000 	 0.0708693 	 4.09165e-05 	 1.36126e-12 	 0.92909 	 1.85542e-10 
7.182e+14 	 1000 	 0.0708634 	 4.09151e-05 	 1.36121e-12 	 0.929096 	 1.85543e-10 
7.2135e+14 	 1000 	 0.0708575 	 4.09137e-05 	 1.36116e-12 	 0.929102 	 1.85543e-10 
7.245e+14 	 1000 	 0.0708519 	 4.09123e-05 	 1.36112e-12 	 0.929107 	 1.85544e-10 
7.2765e+14 	 1000 	 0.0708464 	 4.0911e-05 	 1.36107e-12 	 0.929113 	 1.85545e-10 
7.308e+14 	 1000 	 0.070841 	 4.09097e-05 	 1.36103e-12 	 0.929118 	 1.85545e-10 
7.3395e+14 	 1000 	 0.0708358 	 4.09084e-05 	 1.36098e-12 	 0.929123 	 1.85546e-10 
7.371e+14 	 1000 	 0.0708307 	 4.09072e-05 	 1.36094e-12 	 0.929128 	 1.85547e-10 
7.4025e+14 	 1000 	 0.0708259 	 4.09061e-05 	 1.3609e-12 	 0.929133 	 1.85547e-10 
